연도,주차,연령대,의사환자 분율,입원환자 수,인플루엔자 검출률,예방접종률,응급실 인플루엔자 환자,아형
2017,36,0-6세,,,0.0,,,A(H3N2)
2017,36,0세,3.9,0.0,,,,A(H3N2)
2017,36,1-6세,6.7,0.0,,,,A(H3N2)
2017,36,13-18세,8.2,0.0,0.0,,,A(H3N2)
2017,36,19-49세,5.7,3.0,2.2,,,A(H3N2)
2017,36,50-64세,2.9,3.0,0.0,,,A(H3N2)
2017,36,65세이상,2.1,9.0,5.0,,,A(H3N2)
2017,36,7-12세,6.3,6.0,0.0,,,A(H3N2)
2017,37,0-6세,,,0.0,,,A(H3N2)
2017,37,0세,3.4,1.0,,,,A(H3N2)
2017,37,1-6세,6.4,3.0,,,,A(H3N2)
2017,37,13-18세,8.0,0.0,0.0,,,A(H3N2)
2017,37,19-49세,5.8,3.0,0.0,,,A(H3N2)
2017,37,50-64세,3.7,6.0,3.0,,,A(H3N2)
2017,37,65세이상,1.7,2.0,0.0,,,A(H3N2)
2017,37,7-12세,7.8,4.0,0.0,,,A(H3N2)
2017,38,0-6세,,,1.5,,,B
2017,38,0세,6.3,4.0,,,,B
2017,38,1-6세,7.0,4.0,,,,B
2017,38,13-18세,6.4,1.0,0.0,,,B
2017,38,19-49세,6.1,3.0,0.0,,,B
2017,38,50-64세,2.7,4.0,0.0,,,B
2017,38,65-69세,,,,0.0,,B
2017,38,65세 이상,,,,0.0,,B
2017,38,65세이상,1.8,8.0,4.5,,,B
2017,38,7-12세,7.2,7.0,7.1,,,B
2017,38,70-74세,,,,0.0,,B
2017,38,75세 이상,,,,0.0,,B
2017,39,0-6세,,,0.0,,,A(H3N2)
2017,39,0세,2.4,1.0,,,,A(H3N2)
2017,39,1-6세,8.0,2.0,,,,A(H3N2)
2017,39,13-18세,6.0,0.0,0.0,,,A(H3N2)
2017,39,19-49세,4.7,0.0,2.2,,,A(H3N2)
2017,39,50-64세,2.4,3.0,0.0,,,A(H3N2)
2017,39,65-69세,,,,10.5,,A(H3N2)
2017,39,65세 이상,,,,30.4,,A(H3N2)
2017,39,65세이상,1.5,6.0,4.2,,,A(H3N2)
2017,39,7-12세,7.4,12.0,0.0,,,A(H3N2)
2017,39,70-74세,,,,16.3,,A(H3N2)
2017,39,75세 이상,,,,52.8,,A(H3N2)
2017,40,0-6세,,,0.0,,,A(H1N1)pdm09
2017,40,0세,0.9,2.0,,,,A(H1N1)pdm09
2017,40,1-6세,2.6,3.0,,,,A(H1N1)pdm09
2017,40,13-18세,4.8,0.0,0.0,,,A(H1N1)pdm09
2017,40,19-49세,3.5,1.0,0.0,,,A(H1N1)pdm09
2017,40,50-64세,5.1,1.0,0.0,,,A(H1N1)pdm09
2017,40,65-69세,,,,11.6,,A(H1N1)pdm09
2017,40,65세 이상,,,,32.1,,A(H1N1)pdm09
2017,40,65세이상,3.6,4.0,0.0,,,A(H1N1)pdm09
2017,40,7-12세,2.9,1.0,0.0,,,A(H1N1)pdm09
2017,40,70-74세,,,,17.6,,A(H1N1)pdm09
2017,40,75세 이상,,,,55.2,,A(H1N1)pdm09
2017,41,0-6세,,,0.0,,,A(H3N2)
2017,41,0세,3.1,4.0,,,,A(H3N2)
2017,41,1-6세,5.9,0.0,,,,A(H3N2)
2017,41,13-18세,5.0,0.0,0.0,,,A(H3N2)
2017,41,19-49세,4.7,3.0,0.0,,,A(H3N2)
2017,41,50-64세,2.7,2.0,0.0,,,A(H3N2)
2017,41,65-69세,,,,42.7,,A(H3N2)
2017,41,65세 이상,,,,58.6,,A(H3N2)
2017,41,65세이상,1.1,1.0,11.1,,,A(H3N2)
2017,41,7-12세,6.4,5.0,0.0,,,A(H3N2)
2017,41,70-74세,,,,57.4,,A(H3N2)
2017,41,75세 이상,,,,70.9,,A(H3N2)
2017,42,0-6세,,,0.0,,,A(H3N2)
2017,42,0세,4.5,4.0,,,,A(H3N2)
2017,42,1-6세,7.3,3.0,,,,A(H3N2)
2017,42,13-18세,4.1,4.0,10.0,,,A(H3N2)
2017,42,19-49세,4.0,3.0,0.0,,,A(H3N2)
2017,42,50-64세,2.0,2.0,0.0,,,A(H3N2)
2017,42,65-69세,,,,60.7,,A(H3N2)
2017,42,65세 이상,,,,72.3,,A(H3N2)
2017,42,65세이상,1.8,9.0,2.8,,,A(H3N2)
2017,42,7-12세,6.7,10.0,0.0,,,A(H3N2)
2017,42,70-74세,,,,73.8,,A(H3N2)
2017,42,75세 이상,,,,79.9,,A(H3N2)
2017,43,0-6세,,,0.0,,,A(H3N2)
2017,43,0세,3.9,2.0,,,,A(H3N2)
2017,43,1-6세,5.8,5.0,,,,A(H3N2)
2017,43,13-18세,4.5,1.0,0.0,,,A(H3N2)
2017,43,19-49세,4.6,3.0,0.0,,,A(H3N2)
2017,43,50-64세,2.6,2.0,2.4,,,A(H3N2)
2017,43,65-69세,,,,67.8,,A(H3N2)
2017,43,65세 이상,,,,77.2,,A(H3N2)
2017,43,65세이상,1.9,8.0,0.0,,,A(H3N2)
2017,43,7-12세,5.7,12.0,0.0,,,A(H3N2)
2017,43,70-74세,,,,79.1,,A(H3N2)
2017,43,75세 이상,,,,83.0,,A(H3N2)
2017,44,0-6세,,,1.0,,,B
2017,44,0세,5.8,3.0,,,,B
2017,44,1-6세,7.3,8.0,,,,B
2017,44,13-18세,4.2,2.0,10.5,,,B
2017,44,19-49세,6.1,5.0,0.0,,,B
2017,44,50-64세,2.9,6.0,0.0,,,B
2017,44,65-69세,,,,71.7,,B
2017,44,65세 이상,,,,79.7,,B
2017,44,65세이상,1.7,10.0,0.0,,,B
2017,44,7-12세,6.8,8.0,0.0,,,B
2017,44,70-74세,,,,81.7,,B
2017,44,75세 이상,,,,84.4,,B
2017,45,0-6세,,,1.0,,,A(H3N2)
2017,45,0세,7.5,6.0,,,,A(H3N2)
2017,45,1-6세,7.4,10.0,,,,A(H3N2)
2017,45,13-18세,6.0,1.0,0.0,,,A(H3N2)
2017,45,19-49세,6.0,7.0,0.0,,,A(H3N2)
2017,45,50-64세,3.2,5.0,2.3,,,A(H3N2)
2017,45,65-69세,,,,74.0,,A(H3N2)
2017,45,65세 이상,,,,81.1,,A(H3N2)
2017,45,65세이상,1.7,8.0,0.0,,,A(H3N2)
2017,45,7-12세,7.0,18.0,0.0,,,A(H3N2)
2017,45,70-74세,,,,83.1,,A(H3N2)
