date,ili,detection_rate,delta_ili,peak_gap,min_temp,max_temp,daily_rain,avg_humidity
2017-09-04,5.7,2.2,0.0,-0.1,19.7,30.1,1.125,53.8
2017-09-05,5.714,1.886,0.014,-0.1,20.4,23.7,0.0,62.4
2017-09-06,5.729,1.571,0.029,-0.1,18.5,24.0,2.0,75.5
2017-09-07,5.743,1.257,0.043,-0.1,17.8,27.5,1.625,73.3
2017-09-08,5.757,0.943,0.057,-0.1,20.4,29.9,1.25,67.5
2017-09-09,5.771,0.629,0.071,-0.1,19.2,28.2,0.875,70.1
2017-09-10,5.786,0.314,0.086,-0.1,19.9,26.1,0.5,74.3
2017-09-11,5.8,0.0,0.1,-0.1,18.6,24.6,24.0,79.8
2017-09-12,5.843,0.0,0.129,-0.129,17.7,27.9,22.0,58.6
2017-09-13,5.886,0.0,0.157,-0.157,15.9,27.5,20.0,49.3
2017-09-14,5.929,0.0,0.186,-0.186,14.8,29.5,18.0,48.8
2017-09-15,5.971,0.0,0.214,-0.214,17.8,27.9,16.0,48.4
2017-09-16,6.014,0.0,0.243,-0.243,16.7,27.6,14.0,50.9
2017-09-17,6.057,0.0,0.271,-0.271,19.0,29.2,12.0,51.3
2017-09-18,6.1,0.0,0.3,-0.3,16.4,27.6,10.0,62.8
2017-09-19,5.9,0.314,0.057,-0.057,20.1,25.8,8.0,79.1
2017-09-20,5.7,0.629,-0.186,0.186,14.1,24.9,6.0,48.9
2017-09-21,5.5,0.943,-0.429,0.429,14.2,27.0,4.0,57.3
2017-09-22,5.3,1.257,-0.671,0.671,15.4,26.8,2.0,60.8
2017-09-23,5.1,1.571,-0.914,0.914,17.6,27.3,0.0,69.8
2017-09-24,4.9,1.886,-1.157,1.157,18.8,27.9,0.0,71.5
2017-09-25,4.7,2.2,-1.4,1.4,17.4,30.1,0.0,58.0
2017-09-26,4.529,1.886,-1.371,1.571,19.4,31.4,0.0,57.0
2017-09-27,4.357,1.571,-1.343,1.743,19.9,27.3,0.5,66.4
2017-09-28,4.186,1.257,-1.314,1.914,14.2,25.3,1.375,49.1
2017-09-29,4.014,0.943,-1.286,2.086,11.2,23.5,2.25,39.3
2017-09-30,3.843,0.629,-1.257,2.257,14.7,25.9,3.125,64.9
2017-10-01,3.671,0.314,-1.229,2.429,15.5,21.2,4.0,74.8
2017-10-02,3.5,0.0,-1.2,2.6,15.6,29.4,1.5,62.3
2017-10-03,3.671,0.0,-0.857,2.429,13.4,23.6,1.25,49.8
2017-10-04,3.843,0.0,-0.514,2.257,10.7,24.3,1.0,48.5
2017-10-05,4.014,0.0,-0.171,2.086,13.9,23.4,0.75,56.4
2017-10-06,4.186,0.0,0.171,1.914,16.2,23.3,0.5,66.4
2017-10-07,4.357,0.0,0.514,1.743,16.9,28.8,0.0,67.6
2017-10-08,4.529,0.0,0.857,1.571,19.3,28.7,0.0,66.9
2017-10-09,4.7,0.0,1.2,1.4,19.8,27.6,0.0,66.0
2017-10-10,4.6,0.0,0.929,1.5,18.6,24.8,0.4,76.9
2017-10-11,4.5,0.0,0.657,1.6,12.2,21.7,20.0,77.1
2017-10-12,4.4,0.0,0.386,1.7,8.8,20.3,17.157,71.0
2017-10-13,4.3,0.0,0.114,1.8,6.1,18.9,14.314,51.0
2017-10-14,4.2,0.0,-0.157,1.9,9.0,20.5,11.471,42.8
2017-10-15,4.1,0.0,-0.429,2.0,9.0,23.0,8.629,42.5
2017-10-16,4.0,0.0,-0.7,2.1,13.6,22.0,5.786,47.6
2017-10-17,4.086,0.0,-0.514,2.014,9.2,23.9,2.943,47.1
2017-10-18,4.171,0.0,-0.329,1.929,14.2,19.1,0.1,58.8
2017-10-19,4.257,0.0,-0.143,1.843,11.9,23.2,0.16,58.3
2017-10-20,4.343,0.0,0.043,1.757,11.1,24.2,0.22,58.6
2017-10-21,4.429,0.0,0.229,1.671,11.0,25.2,0.28,52.8
2017-10-22,4.514,0.0,0.414,1.586,11.0,23.5,0.34,50.4
2017-10-23,4.6,0.0,0.6,1.5,8.6,20.6,0.4,47.0
2017-10-24,4.814,0.0,0.729,1.286,9.9,20.9,0.46,54.3
2017-10-25,5.029,0.0,0.857,1.071,9.5,20.6,0.52,59.0
2017-10-26,5.243,0.0,0.986,0.857,10.7,18.1,0.58,56.5
2017-10-27,5.457,0.0,1.114,0.643,11.9,24.2,0.64,54.4
2017-10-28,5.671,0.0,1.243,0.429,10.6,24.8,0.7,51.9
2017-10-29,5.886,0.0,1.371,0.214,6.3,17.2,0.76,45.6
2017-10-30,6.1,0.0,1.5,0.0,2.5,13.2,0.82,27.4
2017-10-31,6.086,0.0,1.271,0.014,3.6,16.0,0.88,54.3
2017-11-01,6.071,0.0,1.043,0.029,11.5,18.1,0.94,72.4
2017-11-02,6.057,0.0,0.814,0.043,14.0,18.0,1.0,78.8
2017-11-03,6.043,0.0,0.586,0.057,6.1,16.6,1.5,66.0
2017-11-04,6.029,0.0,0.357,0.071,4.5,13.7,1.125,47.9
2017-11-05,6.014,0.0,0.129,0.086,2.6,15.4,0.75,52.5
2017-11-06,6.0,0.0,-0.1,0.1,8.0,16.5,0.375,64.5
2017-11-07,6.0,0.0,-0.086,0.1,9.2,18.4,0.0,61.4
2017-11-08,6.0,0.0,-0.071,0.1,6.9,17.2,0.0,53.3
2017-11-09,6.0,0.0,-0.057,0.1,3.7,16.8,3.75,39.6
2017-11-10,6.0,0.0,-0.043,0.1,5.3,15.9,7.5,56.3
2017-11-11,6.0,0.0,-0.029,0.1,2.7,10.7,6.5,42.9
2017-11-12,6.0,0.0,-0.014,0.1,0.3,11.4,5.5,57.1
2017-11-13,6.0,0.0,0.0,0.1,3.1,11.8,4.5,64.4
2017-11-14,6.229,0.9,0.229,-0.129,2.9,11.4,3.375,42.5
2017-11-15,6.457,1.8,0.457,-0.357,-1.1,6.5,2.25,38.3
2017-11-16,6.686,2.7,0.686,-0.586,-3.4,6.4,1.125,30.3
2017-11-17,6.914,3.6,0.914,-0.814,-1.6,5.8,0.0,39.4
2017-11-18,7.143,4.5,1.143,-1.043,-4.8,2.6,0.0,38.5
2017-11-19,7.371,5.4,1.371,-1.271,-6.6,3.5,0.0,37.8
2017-11-20,7.6,6.3,1.6,-1.5,-3.9,4.2,0.0,55.3
2017-11-21,7.829,6.0,1.6,-1.514,-4.2,8.1,0.25,55.6
2017-11-22,8.057,5.7,1.6,-1.529,0.6,10.8,0.5,54.8
2017-11-23,8.286,5.4,1.6,-1.543,-2.5,4.7,1.2,49.3
2017-11-24,8.514,5.1,1.6,-1.557,-2.5,2.9,0.0,62.5
2017-11-25,8.743,4.8,1.6,-1.571,-3.3,7.3,24.0,77.6
2017-11-26,8.971,4.5,1.6,-1.586,-0.3,7.6,16.167,71.6
2017-11-27,9.2,4.2,1.6,-1.6,-2.9,9.5,8.333,53.0
2017-11-28,10.443,5.429,2.614,-2.614,1.3,11.2,0.5,64.1
2017-11-29,11.686,6.657,3.629,-3.629,-1.8,8.1,0.0,48.3
2017-11-30,12.929,7.886,4.643,-4.643,-5.2,2.7,0.0,26.8
2017-12-01,14.171,9.114,5.657,-5.657,-7.6,3.1,0.0,49.4
2017-12-02,15.414,10.343,6.671,-6.671,-4.6,8.1,2.0,59.9
2017-12-03,16.657,11.571,7.686,-7.686,3.1,8.1,4.0,83.1
2017-12-04,17.9,12.8,8.7,-8.7,-6.1,4.5,0.1,48.1
2017-12-05,19.643,15.214,9.2,-9.2,-8.2,-0.4,0.1,40.1
2017-12-06,21.386,17.629,9.7,-9.7,-4.5,6.0,1.2,72.6
2017-12-07,23.129,20.043,10.2,-10.2,-3.5,4.6,1.925,64.5
2017-12-08,24.871,22.457,10.7,-10.7,-7.1,-0.5,2.65,41.3
2017-12-09,26.614,24.871,11.2,-11.2,-5.6,5.4,3.375,46.1
2017-12-10,28.357,27.286,11.7,-11.7,-2.5,6.7,4.1,67.9
2017-12-11,30.1,29.7,12.2,-12.2,-11.0,-2.5,3.28,40.5
2017-12-12,32.271,32.971,12.629,-12.629,-12.3,-5.2,2.46,41.9
2017-12-13,34.443,36.243,13.057,-13.057,-12.0,-4.4,1.64,42.0
2017-12-14,36.614,39.514,13.486,-13.486,-11.2,-1.9,0.82,42.9
2017-12-15,38.786,42.786,13.914,-13.914,-7.5,0.9,0.0,52.6
2017-12-16,40.957,46.057,14.343,-14.343,-8.1,-2.6,1.133,43.1
2017-12-17,43.129,49.329,14.771,-14.771,-10.8,-2.3,2.267,38.1
2017-12-18,45.3,52.6,15.2,-15.2,-5.9,3.3,3.4,80.0
2017-12-19,48.971,54.214,14.864,-14.864,-6.5,-1.0,1.8,49.4
2017-12-20,52.643,55.829,14.529,-14.529,-8.5,-0.1,0.2,68.0
2017-12-21,56.314,57.443,14.193,-14.193,-5.6,4.6,5.15,71.4
2017-12-22,59.986,59.057,13.857,-13.857,-1.9,6.6,10.1,66.6
2017-12-23,63.657,60.671,13.521,-13.521,5.0,8.7,15.05,75.8
2017-12-24,67.329,62.286,13.186,-13.186,-0.6,5.7,20.0,82.0
2017-12-25,71.0,63.9,12.85,-12.85,-4.9,0.6,15.0,43.1
2017-12-26,72.543,64.157,12.557,-12.557,-7.9,-1.1,10.0,41.8
2017-12-27,74.086,64.414,12.264,-12.264,-10.3,-2.6,5.0,31.4
2017-12-28,75.629,64.671,11.971,-11.971,-6.8,0.8,0.0,47.0
2017-12-29,77.171,64.929,11.679,-11.679,-0.4,6.0,0.0,67.0
2017-12-30,78.714,65.186,11.386,-11.386,-1.2,4.5,0.7,79.5
2017-12-31,80.257,65.443,11.093,-11.093,-3.2,3.3,1.0,54.4
2018-01-01,81.8,65.7,10.8,-10.8,-5.1,3.8,0.988,39.1
2018-01-02,81.986,64.5,9.443,-9.443,-4.3,1.8,0.975,42.0
2018-01-03,82.171,63.3,8.086,-8.086,-7.1,-0.4,0.962,42.3
2018-01-04,82.357,62.1,6.729,-6.729,-8.7,-0.7,0.95,43.0
2018-01-05,82.543,60.9,5.371,-5.371,-5.6,1.6,0.938,48.4
2018-01-06,82.729,59.7,4.014,-4.014,-6.8,2.9,0.925,45.8
2018-01-07,82.914,58.5,2.657,-2.657,-5.7,2.8,0.912,42.1
2018-01-08,83.1,57.3,1.3,-1.3,-1.2,4.0,0.9,51.9
2018-01-09,80.643,58.229,-1.343,1.343,-6.1,-1.2,0.5,59.4
2018-01-10,78.186,59.157,-3.986,3.986,-10.3,-4.8,0.3,52.0
2018-01-11,75.729,60.086,-6.629,6.629,-13.6,-7.4,0.15,49.8
2018-01-12,73.271,61.014,-9.271,9.271,-15.3,-5.4,0.0,35.4
2018-01-13,70.814,61.943,-11.914,11.914,-6.6,-1.2,0.4,67.3
2018-01-14,68.357,62.871,-14.557,14.557,-4.4,5.4,0.3,64.1
2018-01-15,65.9,63.8,-17.2,17.2,1.8,7.7,0.2,63.9
2018-01-16,63.143,61.629,-17.5,19.957,0.1,6.8,0.0,59.1
2018-01-17,60.386,59.457,-17.8,22.714,2.4,8.7,0.0,64.1
2018-01-18,57.629,57.286,-18.1,25.471,0.3,4.5,0.0,59.6
2018-01-19,54.871,55.114,-18.4,28.229,-2.5,5.5,0.825,43.0
2018-01-20,52.114,52.943,-18.7,30.986,-1.0,6.9,1.65,57.6
2018-01-21,49.357,50.771,-19.0,33.743,-3.7,5.5,2.475,36.6
2018-01-22,46.6,48.6,-19.3,36.5,-5.3,4.0,3.3,56.5
2018-01-23,45.514,50.614,-17.629,37.586,-14.6,-5.3,3.25,42.0
2018-01-24,44.429,52.629,-15.957,38.671,-16.3,-10.7,3.2,31.6
2018-01-25,43.343,54.643,-14.286,39.757,-16.4,-9.5,3.15,32.6
2018-01-26,42.257,56.657,-12.614,40.843,-17.8,-10.7,3.1,34.9
2018-01-27,41.171,58.671,-10.943,41.929,-15.9,-3.5,3.05,37.4
2018-01-28,40.086,60.686,-9.271,43.014,-9.3,-1.2,3.0,36.0
2018-01-29,39.0,62.7,-7.6,44.1,-11.6,-4.7,2.95,35.0
2018-01-30,38.1,59.771,-7.414,45.0,-11.4,-0.8,2.9,62.0
2018-01-31,37.2,56.843,-7.229,45.9,-5.2,0.0,0.0,54.5
2018-02-01,36.3,53.914,-7.043,46.8,-8.8,1.2,0.167,44.1
2018-02-02,35.4,50.986,-6.857,47.7,-7.6,3.8,0.333,51.1
2018-02-03,34.5,48.057,-6.671,48.6,-10.4,-2.1,0.5,47.0
2018-02-04,33.6,45.129,-6.486,49.5,-12.8,-5.2,0.438,40.9
2018-02-05,32.7,42.2,-6.3,50.4,-11.8,-5.1,0.375,37.8
2018-02-06,32.6,43.843,-5.5,50.5,-12.8,-5.8,0.312,36.5
2018-02-07,32.5,45.486,-4.7,50.6,-13.4,-1.6,0.25,39.8
2018-02-08,32.4,47.129,-3.9,50.7,-9.7,2.0,0.188,43.3
2018-02-09,32.3,48.771,-3.1,50.8,-5.3,6.1,0.125,43.9
2018-02-10,32.2,50.414,-2.3,50.9,-6.9,3.2,0.062,47.4
2018-02-11,32.1,52.057,-1.5,51.0,-9.5,-2.2,0.0,42.5
2018-02-12,32.0,53.7,-0.7,51.1,-9.6,-1.8,0.0,40.8
2018-02-13,30.443,50.186,-2.157,52.657,-7.4,4.3,0.04,54.5
2018-02-14,28.886,46.671,-3.614,54.214,-0.7,8.7,0.08,51.0
2018-02-15,27.329,43.157,-5.071,55.771,-3.7,4.0,0.12,28.0
2018-02-16,25.771,39.643,-6.529,57.329,-5.5,4.9,0.16,40.1
2018-02-17,24.214,36.129,-7.986,58.886,-7.1,1.4,0.2,25.6
2018-02-18,22.657,32.614,-9.443,60.443,-4.9,5.2,0.24,26.9
2018-02-19,21.1,29.1,-10.9,62.0,-1.9,6.8,0.28,48.6
2018-02-20,20.443,28.586,-10.0,62.657,-2.4,5.5,0.32,41.0
2018-02-21,19.786,28.071,-9.1,63.314,-4.5,4.4,0.36,31.5
2018-02-22,19.129,27.557,-8.2,63.971,-3.9,5.4,0.4,59.0
2018-02-23,18.471,27.043,-7.3,64.629,-0.3,8.6,3.7,81.1
2018-02-24,17.814,26.529,-6.4,65.286,-1.1,7.2,7.96,49.4
2018-02-25,17.157,26.014,-5.5,65.943,-1.6,7.9,12.22,40.6
2018-02-26,16.5,25.5,-4.6,66.6,-3.2,10.4,16.48,43.1
2018-02-27,15.986,23.586,-4.457,67.114,0.6,6.9,20.74,48.8
2018-02-28,15.471,21.671,-4.314,67.629,1.8,7.8,25.0,73.3
2018-03-01,14.957,19.757,-4.171,68.143,-4.3,3.0,0.5,61.9
2018-03-02,14.443,17.843,-4.029,68.657,-6.7,5.4,0.25,34.0
2018-03-03,13.929,15.929,-3.886,69.171,-0.1,16.2,0.0,38.1
2018-03-04,13.414,14.014,-3.743,69.686,7.6,11.9,11.5,89.1
2018-03-05,12.9,12.1,-3.6,70.2,1.3,11.4,3.5,67.5
2018-03-06,12.443,12.8,-3.543,68.2,-1.1,10.9,2.0,46.8
2018-03-07,11.986,13.5,-3.486,66.2,2.2,10.7,0.5,54.0
2018-03-08,11.529,14.2,-3.429,64.2,2.7,9.7,4.0,76.0
2018-03-09,11.071,14.9,-3.371,62.2,1.4,9.6,7.286,63.3
