[Shapes] X_tr:(2137, 3), X_va:(457, 3), X_te:(459, 3) | F=3
[Info] Model input feature order -> ['ili', 'delta_ili', 'peak_gap']
[Batch] Xb.shape=(32, 9, 4, 3) (B,P,L,F), yb.shape=(32, 3)
[Batch] Feature order used -> ['ili', 'delta_ili', 'peak_gap']
[Epoch 001/200] LR=0.000010 | Loss T/V=1.29314/1.66793 | MAE  T/V=13.33404/13.31214Corr V=0.047
[Epoch 002/200] LR=0.000020 | Loss T/V=1.22236/1.51281 | MAE  T/V=12.70417/12.11595Corr V=0.218
[Epoch 003/200] LR=0.000030 | Loss T/V=1.04885/1.23202 | MAE  T/V=11.08447/10.25282Corr V=0.358
[Epoch 004/200] LR=0.000040 | Loss T/V=0.78427/0.85627 | MAE  T/V=8.63392/8.52452Corr V=0.446
[Epoch 005/200] LR=0.000050 | Loss T/V=0.53645/0.52663 | MAE  T/V=6.83642/7.12378Corr V=0.499
[Epoch 006/200] LR=0.000060 | Loss T/V=0.39653/0.29687 | MAE  T/V=5.87776/5.17703Corr V=0.562
[Epoch 007/200] LR=0.000070 | Loss T/V=0.30038/0.20480 | MAE  T/V=5.24492/4.44904Corr V=0.641
[Epoch 008/200] LR=0.000080 | Loss T/V=0.22960/0.17818 | MAE  T/V=4.78690/4.04683Corr V=0.711
[Epoch 009/200] LR=0.000090 | Loss T/V=0.17688/0.17225 | MAE  T/V=4.24061/3.89554Corr V=0.759
[Epoch 010/200] LR=0.000100 | Loss T/V=0.16218/0.13659 | MAE  T/V=4.12845/3.75130Corr V=0.778
[Epoch 011/200] LR=0.000110 | Loss T/V=0.15187/0.13693 | MAE  T/V=4.02220/3.61875Corr V=0.804
[Epoch 012/200] LR=0.000120 | Loss T/V=0.12956/0.11721 | MAE  T/V=3.71343/3.62728Corr V=0.813
[Epoch 013/200] LR=0.000130 | Loss T/V=0.14306/0.14434 | MAE  T/V=3.76541/4.01559Corr V=0.818
[Epoch 014/200] LR=0.000140 | Loss T/V=0.13933/0.13343 | MAE  T/V=3.68159/4.08826Corr V=0.826
[Epoch 015/200] LR=0.000150 | Loss T/V=0.12664/0.08986 | MAE  T/V=3.56634/3.01187Corr V=0.820
[Epoch 016/200] LR=0.000160 | Loss T/V=0.12692/0.13704 | MAE  T/V=3.54357/4.00219Corr V=0.825
[Epoch 017/200] LR=0.000170 | Loss T/V=0.11312/0.08662 | MAE  T/V=3.37778/3.14511Corr V=0.839
[Epoch 018/200] LR=0.000180 | Loss T/V=0.10929/0.08854 | MAE  T/V=3.31984/3.13156Corr V=0.839
[Epoch 019/200] LR=0.000190 | Loss T/V=0.10588/0.07895 | MAE  T/V=3.24425/2.65606Corr V=0.839
[Epoch 020/200] LR=0.000200 | Loss T/V=0.11221/0.08166 | MAE  T/V=3.23921/2.95411Corr V=0.819
[Epoch 021/200] LR=0.000209 | Loss T/V=0.11113/0.09942 | MAE  T/V=3.24365/3.25559Corr V=0.839
[Epoch 022/200] LR=0.000219 | Loss T/V=0.09070/0.13148 | MAE  T/V=3.01252/3.69265Corr V=0.826
[Epoch 023/200] LR=0.000229 | Loss T/V=0.09106/0.12619 | MAE  T/V=2.98235/3.73200Corr V=0.838
